year,type,value,continent
2019,both,8.80727272727273,Africa
2019,male,13.690909090909097,Africa
2019,female,4.003636363636365,Africa
2018,both,8.974545454545456,Africa
2018,male,13.97272727272728,Africa
2018,female,4.063636363636364,Africa
2017,both,9.17818181818182,Africa
2017,male,14.279999999999996,Africa
2017,female,4.176363636363636,Africa
2016,both,9.445454545454544,Africa
2016,male,14.601818181818178,Africa
2016,female,4.387272727272727,Africa
2015,both,9.738181818181816,Africa
2015,male,14.947272727272722,Africa
2015,female,4.638181818181818,Africa
2014,both,10,Africa
2014,male,15.303636363636365,Africa
2014,female,4.803636363636365,Africa
2013,both,10.06,Africa
2013,male,15.372727272727275,Africa
2013,female,4.865454545454546,Africa
2012,both,10.132727272727275,Africa
2012,male,15.429090909090908,Africa
2012,female,4.981818181818183,Africa
2011,both,10.087272727272723,Africa
2011,male,15.25454545454545,Africa
2011,female,5.034545454545455,Africa
2010,both,10.209090909090907,Africa
2010,male,15.36181818181818,Africa
2010,female,5.18909090909091,Africa
2009,both,10.323636363636364,Africa
2009,male,15.392727272727278,Africa
2009,female,5.405454545454545,Africa
2008,both,10.243636363636368,Africa
2008,male,15.194545454545453,Africa
2008,female,5.454545454545453,Africa
2007,both,10.069090909090908,Africa
2007,male,14.88909090909091,Africa
2007,female,5.3981818181818175,Africa
2006,both,9.93090909090909,Africa
2006,male,14.621818181818186,Africa
2006,female,5.396363636363637,Africa
2005,both,9.785454545454543,Africa
2005,male,14.445454545454545,Africa
2005,female,5.252727272727273,Africa
2004,both,9.78727272727273,Africa
2004,male,14.429090909090908,Africa
2004,female,5.28,Africa
2003,both,9.820000000000002,Africa
2003,male,14.45090909090909,Africa
2003,female,5.325454545454545,Africa
2002,both,9.923636363636366,Africa
2002,male,14.627272727272723,Africa
2002,female,5.361818181818185,Africa
2001,both,9.979999999999995,Africa
2001,male,14.67818181818182,Africa
2001,female,5.418181818181819,Africa
2000,both,10.263636363636364,Africa
2000,male,15.116363636363634,Africa
2000,female,5.527272727272727,Africa
2019,both,13.021951219512195,Europe
2019,male,20.54878048780488,Europe
2019,female,5.992682926829269,Europe
2018,both,13.258536585365851,Europe
2018,male,20.990243902439026,Europe
2018,female,6.046341463414634,Europe
2017,both,13.358536585365858,Europe
2017,male,21.192682926829267,Europe
2017,female,6.068292682926829,Europe
2016,both,13.83170731707317,Europe
2016,male,22.056097560975605,Europe
2016,female,6.170731707317071,Europe
2015,both,14.38292682926829,Europe
2015,male,22.756097560975608,Europe
2015,female,6.604878048780487,Europe
2014,both,14.90487804878049,Europe
2014,male,23.785365853658536,Europe
2014,female,6.690243902439024,Europe
2013,both,15.170731707317072,Europe
2013,male,24.360975609756093,Europe
2013,female,6.6658536585365855,Europe
2012,both,15.431707317073178,Europe
2012,male,24.836585365853658,Europe
2012,female,6.736585365853658,Europe
2011,both,15.404878048780489,Europe
2011,male,24.77560975609756,Europe
2011,female,6.743902439024388,Europe
2010,both,15.651219512195123,Europe
2010,male,25.304878048780488,Europe
2010,female,6.751219512195121,Europe
2009,both,16.297560975609755,Europe
2009,male,26.402439024390237,Europe
2009,female,6.958536585365855,Europe
2008,both,16.21463414634146,Europe
2008,male,25.914634146341463,Europe
2008,female,7.297560975609757,Europe
2007,both,15.863414634146341,Europe
2007,male,25.268292682926834,Europe
2007,female,7.2024390243902445,Europe
2006,both,16.604878048780485,Europe
2006,male,26.568292682926828,Europe
2006,female,7.402439024390244,Europe
2005,both,17.175609756097558,Europe
2005,male,27.48780487804878,Europe
2005,female,7.709756097560976,Europe
2004,both,17.302439024390242,Europe
2004,male,27.714634146341456,Europe
2004,female,7.729268292682929,Europe
2003,both,17.709756097560977,Europe
2003,male,28.524390243902438,Europe
2003,female,7.7756097560975626,Europe
2002,both,18.173170731707316,Europe
2002,male,29.321951219512197,Europe
2002,female,7.919512195121955,Europe
2001,both,18.409756097560972,Europe
2001,male,29.697560975609765,Europe
2001,female,7.9975609756097565,Europe
2000,both,18.692682926829274,Europe
2000,male,29.84146341463416,Europe
2000,female,8.414634146341463,Europe
2019,both,14.11,Oceania
2019,male,22.150000000000002,Oceania
2019,female,5.970000000000001,Oceania
2018,both,14.180000000000001,Oceania
2018,male,22.319999999999997,Oceania
2018,female,5.97,Oceania
2017,both,14.52,Oceania
2017,male,22.86,Oceania
2017,female,6.109999999999999,Oceania
2016,both,14.329999999999998,Oceania
2016,male,22.530000000000005,Oceania
2016,female,6.04,Oceania
2015,both,14.469999999999999,Oceania
2015,male,22.669999999999998,Oceania
2015,female,6.16,Oceania
2014,both,14.309999999999999,Oceania
2014,male,22.49,Oceania
2014,female,6.029999999999999,Oceania
2013,both,14.35,Oceania
2013,male,22.470000000000002,Oceania
2013,female,6.130000000000001,Oceania
2012,both,14.45,Oceania
2012,male,22.65,Oceania
2012,female,6.159999999999999,Oceania
2011,both,14.3,Oceania
2011,male,22.54,Oceania
2011,female,5.9399999999999995,Oceania
2010,both,14.429999999999998,Oceania
2010,male,22.630000000000003,Oceania
2010,female,6.13,Oceania
2009,both,14.11,Oceania
2009,male,22.27,Oceania
2009,female,5.889999999999999,Oceania
2008,both,14.35,Oceania
2008,male,22.679999999999996,Oceania
2008,female,5.959999999999999,Oceania
2007,both,14.16,Oceania
2007,male,22.339999999999996,Oceania
2007,female,5.909999999999999,Oceania
2006,both,13.959999999999999,Oceania
2006,male,21.88,Oceania
2006,female,5.909999999999999,Oceania
2005,both,13.98,Oceania
2005,male,22.020000000000003,Oceania
2005,female,5.859999999999999,Oceania
2004,both,13.719999999999999,Oceania
2004,male,21.580000000000002,Oceania
2004,female,5.72,Oceania
2003,both,13.95,Oceania
2003,male,21.75,Oceania
2003,female,6.029999999999999,Oceania
2002,both,14.059999999999999,Oceania
2002,male,22.050000000000004,Oceania
2002,female,5.970000000000001,Oceania
2001,both,14.419999999999998,Oceania
2001,male,22.57,Oceania
2001,female,6.130000000000001,Oceania
2000,both,14.45,Oceania
2000,male,22.800000000000004,Oceania
2000,female,5.970000000000001,Oceania
2019,both,6.8638297872340415,Asia
2019,male,10.072340425531916,Asia
2019,female,3.4595744680851057,Asia
2018,both,6.89148936170213,Asia
2018,male,10.144680851063832,Asia
2018,female,3.457446808510637,Asia
2017,both,6.910638297872341,Asia
2017,male,10.191489361702128,Asia
2017,female,3.468085106382979,Asia
2016,both,7.108510638297871,Asia
2016,male,10.455319148936173,Asia
2016,female,3.608510638297872,Asia
2015,both,7.195744680851065,Asia
2015,male,10.544680851063827,Asia
2015,female,3.7000000000000006,Asia
2014,both,7.289361702127661,Asia
2014,male,10.636170212765958,Asia
2014,female,3.770212765957446,Asia
2013,both,7.5085106382978735,Asia
2013,male,10.880851063829788,Asia
2013,female,3.9382978723404243,Asia
2012,both,7.699999999999999,Asia
2012,male,11.172340425531912,Asia
2012,female,4.042553191489361,Asia
2011,both,7.912765957446808,Asia
2011,male,11.448936170212765,Asia
2011,female,4.170212765957445,Asia
2010,both,8.080851063829785,Asia
2010,male,11.655319148936169,Asia
2010,female,4.2957446808510635,Asia
2009,both,8.146808510638296,Asia
2009,male,11.808510638297872,Asia
2009,female,4.291489361702127,Asia
2008,both,8.06595744680851,Asia
2008,male,11.66808510638298,Asia
2008,female,4.242553191489364,Asia
2007,both,8.23404255319149,Asia
2007,male,11.929787234042553,Asia
2007,female,4.359574468085106,Asia
2006,both,8.157446808510636,Asia
2006,male,11.829787234042554,Asia
2006,female,4.340425531914893,Asia
2005,both,8.504255319148935,Asia
2005,male,12.253191489361704,Asia
2005,female,4.629787234042554,Asia
2004,both,8.348936170212765,Asia
2004,male,12.138297872340427,Asia
2004,female,4.446808510638299,Asia
2003,both,8.310638297872341,Asia
2003,male,12.055319148936169,Asia
2003,female,4.465957446808511,Asia
2002,both,8.23191489361702,Asia
2002,male,11.865957446808512,Asia
2002,female,4.482978723404255,Asia
2001,both,8.206382978723406,Asia
2001,male,11.848936170212768,Asia
2001,female,4.4553191489361685,Asia
2000,both,8.41276595744681,Asia
2000,male,12.061702127659576,Asia
2000,female,4.672340425531914,Asia
2019,both,6.3125,North America
2019,male,9.9375,North America
2019,female,2.7687500000000007,North America
2018,both,6.18125,North America
2018,male,9.712500000000002,North America
2018,female,2.7375000000000007,North America
2017,both,6.162500000000001,North America
2017,male,9.75625,North America
2017,female,2.7000000000000006,North America
2016,both,6.04375,North America
2016,male,9.39375,North America
2016,female,2.7750000000000004,North America
2015,both,6.3625,North America
2015,male,9.99375,North America
2015,female,2.8312499999999994,North America
2014,both,6.025,North America
2014,male,9.28125,North America
2014,female,2.8437499999999996,North America
2013,both,6.143750000000001,North America
2013,male,9.7,North America
2013,female,2.6812499999999995,North America
2012,both,6.35625,North America
2012,male,9.856250000000001,North America
2012,female,2.90625,North America
2011,both,6.500000000000001,North America
2011,male,10.2375,North America
2011,female,2.85625,North America
2010,both,6.33125,North America
2010,male,9.9875,North America
2010,female,2.78125,North America
2009,both,6.206249999999999,North America
2009,male,9.78125,North America
2009,female,2.73125,North America
2008,both,6.10625,North America
2008,male,9.59375,North America
2008,female,2.7,North America
2007,both,6.35625,North America
2007,male,10.112499999999999,North America
2007,female,2.6750000000000007,North America
2006,both,6.6812499999999995,North America
2006,male,10.725,North America
2006,female,2.7562499999999996,North America
2005,both,6.90625,North America
2005,male,10.937499999999998,North America
2005,female,2.9562500000000007,North America
2004,both,6.7375,North America
2004,male,10.625,North America
2004,female,2.9499999999999997,North America
2003,both,6.54375,North America
2003,male,10.2,North America
2003,female,2.94375,North America
2002,both,6.424999999999999,North America
2002,male,10.04375,North America
2002,female,2.8874999999999997,North America
2001,both,6.35625,North America
2001,male,9.89375,North America
2001,female,2.9124999999999996,North America
2000,both,6.687500000000001,North America
2000,male,10.55625,North America
2000,female,2.925,North America
2019,both,10.52142857142857,South America
2019,male,16.557142857142857,South America
2019,female,4.55,South America
2018,both,10.585714285714285,South America
2018,male,16.65,South America
2018,female,4.564285714285715,South America
2017,both,10.592857142857142,South America
2017,male,16.657142857142855,South America
2017,female,4.578571428571428,South America
2016,both,10.435714285714285,South America
2016,male,16.414285714285715,South America
2016,female,4.55,South America
2015,both,10.400000000000002,South America
2015,male,16.378571428571426,South America
2015,female,4.542857142857143,South America
2014,both,10.400000000000002,South America
2014,male,16.5,South America
2014,female,4.378571428571429,South America
2013,both,10.314285714285717,South America
2013,male,16.207142857142856,South America
2013,female,4.521428571428571,South America
2012,both,10.307142857142855,South America
2012,male,16.24285714285714,South America
2012,female,4.514285714285714,South America
2011,both,9.978571428571428,South America
2011,male,15.685714285714287,South America
2011,female,4.385714285714285,South America
2010,both,10.114285714285714,South America
2010,male,15.835714285714287,South America
2010,female,4.5,South America
2009,both,10.142857142857142,South America
2009,male,15.664285714285711,South America
2009,female,4.7,South America
2008,both,10.092857142857143,South America
2008,male,15.771428571428572,South America
2008,female,4.478571428571429,South America
2007,both,9.971428571428572,South America
2007,male,15.564285714285713,South America
2007,female,4.485714285714287,South America
2006,both,9.871428571428572,South America
2006,male,15.385714285714284,South America
2006,female,4.435714285714286,South America
2005,both,9.878571428571432,South America
2005,male,15.342857142857143,South America
2005,female,4.442857142857142,South America
2004,both,10.042857142857143,South America
2004,male,15.750000000000002,South America
2004,female,4.449999999999999,South America
2003,both,10.192857142857145,South America
2003,male,15.935714285714283,South America
2003,female,4.507142857142857,South America
2002,both,10.721428571428572,South America
2002,male,16.857142857142858,South America
2002,female,4.671428571428572,South America
2001,both,10.428571428571429,South America
2001,male,16.385714285714283,South America
2001,female,4.564285714285715,South America
2000,both,9.935714285714285,South America
2000,male,15.700000000000001,South America
2000,female,4.2785714285714285,South America